koer,kohtunik,grade,predicted
Alppililja Ancelina,Bo Skalin,4.0,1
Alppililja Ancelina,Helen Tonkson-Koit,4.0,1
Alppililja Ancelina,Liliane de Ridder-Onghena,4.0,1
Alppililja Ancelina,Torsten Lemmer,13.0,1
Alppililja Ancelina,Mile Aleksoski,13.0,1
Alppililja Ancelina,Hans-Erhard Grüttner,13.0,1
Alppililja Ancelina,Marjatta Pylvänäinen-Suorsa,13.0,1
Alppililja Ancelina,Rade Vesic,4.0,1
Alppililja Ancelina,Eva Liljekvist Borg,13.0,1
Alppililja Ancelina,Olena Chuieva,13.0,1
Alppililja Ancelina,Juta Haranen,4.0,1
Alppililja Ancelina,Kostadin Shankov,13.0,1
Alppililja Ancelina,Nenad Matejevic,13.0,1
Alppililja Ancelina,Hedi Kumm,13.0,1
Alppililja Ancelina,Marek Lewandowski,13.0,1
Alppililja Ancelina,Nina Karlsdotter,13.0,1
Alppililja Ancelina,Michael Camac,4.0,1
Alppililja Ancelina,Petra Junehall,4.0,1
Alppililja Ancelina,Galyna Kalinichenko,4.0,1
Alppililja Ancelina,Bonka Georgieva Laslo,4.0,1
Alppililja Ancelina,Elena Agafonova,4.0,1
Alppililja Ancelina,Ligita Zake,13.0,1
Alppililja Ancelina,Dina Korna,13.0,1
Alppililja Ancelina,Avi Mallach,4.0,1
Alppililja Ancelina,Sarah Burns,13.0,1
Alppililja Ancelina,Linda Jürgens,4.0,1
Alppililja Ancelina,Pars Kibarer,4.0,1
Alppililja Ancelina,Karl-Erik Johansson,13.0,1
Alppililja Ancelina,Paula Heikkinen-Lehkonen,13.0,1
Alppililja Ancelina,Sviatlana Radziuk,4.0,1
Alppililja Ancelina,Gerard O'shea,4.0,1
Alppililja Ancelina,Aire-Piret Pärn,4.0,1
Alppililja Ancelina,Audrone Babianskiene,4.0,1
Alppililja Ancelina,Natalia Sedykh,4.0,1
Alppililja Ancelina,Istvanne Juhasz,4.0,1
Alppililja Ancelina,Olga Kojevnikova,4.0,1
Alppililja Ancelina,Panos Demetriou,4.0,1
Alppililja Ancelina,Myriam Vermeire,4.0,1
Alppililja Ancelina,Dragana Vasiljevic,13.0,1
Alppililja Ancelina,Tino Pehar,13.0,1
Alppililja Ancelina,Igoris Zizevskis,4.0,1
Alppililja Ancelina,Csaba Zsolt Lokodi,13.0,1
Alppililja Ancelina,Roger Vanhoenacker,4.0,1
Alppililja Ancelina,Shyam Mehta,4.0,1
Alppililja Ancelina,Sanja Momčilović Bognič,13.0,1
Alppililja Ancelina,Carmen Navarro Guisado,13.0,1
Alppililja Ancelina,Svante Frisk,13.0,1
Alppililja Ancelina,Volodymyr Shiyan,13.0,1
Alppililja Ancelina,Refet Hadzic,13.0,1
Alppililja Ancelina,Elin Normannseth,4.0,1
Alppililja Ancelina,Melita Grošelj,13.0,1
Alppililja Ancelina,Manola Poggesi,4.0,1
Alppililja Ancelina,Hans Almgren,4.0,1
Alppililja Ancelina,Tina Peixoto,4.0,1
Alppililja Ancelina,Lessi Tchistiakova,4.0,1
Alppililja Ancelina,Sergej Vanzha,4.0,1
Alppililja Ancelina,Sebastian Harnik,4.0,1
Alppililja Ancelina,Angel Pons Arino,4.0,1
Alppililja Ancelina,Helina Simberg,4.0,1
Alppililja Ancelina,Vija Klučniece,4.0,1
Alppililja Ancelina,Olga Dolejšova,4.0,1
Alppililja Ancelina,Gunnar Nymann,4.0,1
Alppililja Ancelina,Massimo Inzoli,4.0,1
Alppililja Ancelina,Kimmo Mustonen,4.0,1
Alppililja Ancelina,Oliver Simon,4.0,1
Alppililja Ancelina,Krystyna Opara,4.0,1
Alppililja Ancelina,Branislav Rajic,4.0,1
Alppililja Ancelina,Pedro Ivo Santos Bispo,13.0,1
Alppililja Ancelina,Inese Pablaka,4.0,1
Alppililja Ancelina,Regina Vaitkunskiene,4.0,1
Alppililja Ancelina,Lisbet Utke Ramsing,13.0,1
Alppililja Ancelina,Elena Ruskovaara,4.0,1
Alppililja Ancelina,Olga Kupriyanova Sinko,4.0,1
Alppililja Ancelina,Galina Zhuk,4.0,1
Alppililja Ancelina,Tanya Ahlman,4.0,1
Alppililja Ancelina,Tatjana Romanovskaya,4.0,1
Alppililja Ancelina,Igor Mioč,13.0,1
Alppililja Ancelina,Colette Muldoon,13.0,1
Alppililja Ancelina,Elizabeth Wogan,4.0,1
Alppililja Ancelina,Nina Kharatishvili,4.0,1
Alppililja Ancelina,Zorica Blomqvist,4.0,1
Alppililja Ancelina,Fabrizio La Rocca,4.0,1
Alppililja Ancelina,Alvar Ristikivi,4.0,1
Alppililja Ancelina,Yulija Pokrovskaya,4.0,1
Alppililja Ancelina,Malgorzata Halas,4.0,1
Alppililja Ancelina,Carlos Fernandez-Renau,13.0,1
Alppililja Ancelina,Anatoli Zhuk,4.0,1
Alppililja Ancelina,Livija Zizevske,4.0,1
Alppililja Ancelina,Fernando Quilis Bonet,13.0,1
Alppililja Ancelina,Boris Baic,13.0,1
Alppililja Ancelina,Nikolay Sedykh,4.0,1
